Team Number,Drive base,Wheel Count,Drive Motor Count,Software Language,Robot Description,Pit Scout Comments,Can collect from ground?,Can collect from stack?,Can collect from portal?,Can deposit cube to switch?,Can deposit cube to scale?,Can deposit cube to vault?,Climb support with bar?,Climb support with ramp?,Can climb?,Can play defense?,Auto modes,,,,,,
6800,Tank,,4,LabView,,,Yes,,,Yes,Yes,Yes,,,,Yes,Center 2 Switch,,,,,,
5829,West Coast,,6,Java,,,Yes,,,Yes,No,Yes,,,,Yes,baseline,,,,,,
6502,Tank,,6,Java,,,Yes,,,Yes,Yes,Yes,,,,Yes,"switch center
2 scale left",,,,,,
1421,Mecanum,,4,C++,,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,"Switch (30%)
Scale (Maybe)",,,,,,
5458,West Coast,,4,C++,,,Yes,,,Yes,No,Yes,,Yes,,Yes,,,,,,,
4265,West Coast,,6,LabView,,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,"2 cube scale
switch
baseline",,,,,,
2415,Tank,,4,Java,,,Yes,,,Yes,No,Yes,,,No,Yes,switch 100%,,,,,,
3753,Tank,,4,Java,,,Yes,,,Yes,Yes,Yes,,,No,Yes,"near switch
baseline",,,,,,
4013,Tank,,4,Java,,,Yes,,,Yes,Yes,Yes,,,No,Yes,"Side Switch
baseline",,,,,,
3132,West Coast,,6,Java,,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,"Switch 90-95%
Same side scale",,,,,,
4499,West Coast,,6,Java,,,Yes,,,Yes,No,Yes,,,No,Yes,"switch 
baseline",,,,,,
2556,Meccanum,,4,C++,,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,"Near scale
Center switch (iffy)",,,,,,
1690,Tank,,8,LabView,8 775 pro's,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,"3 scale near
2 scale far
2 scale and 1 switch",,,,,,
1369,Tank,,4,Java,,,Yes,,,Yes,Yes,Yes,,,No,Yes,"center switch
1 scale",,,,,,
100,West Coast,,4,Java,,,Yes,,,Yes,Yes,Yes,,,No,Yes,"center switch 100%
1 cube iffy scale",,,,,,
16,Swerve,,4,C++,,,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,"1 cube scale
2 center switch",,,,,,
144,Tank,,6,,4 cim + 2 mini,,Yes,,,Yes,Yes,Yes,,,No,Yes,"center switch 100%
scale - both sides",,,,,,
7111,Kit,,4,C++,,,No,,,Yes,No,No,,,No,Yes,baseline,,,,,,
1414,Tank,,4,Java,,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,"left anywhere 2 cube scale
center switch 100%",,,,,,
343,Tank,,4,LabView,,,Yes,,,Yes,Yes,Yes,,,No,Yes,"2 cube switch 100%
baseline
near scale",,,,,,
5026,West Coast,,4,Java,,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,"2 switch center 100%
2 near scale 
1 far scale",,,,,,
5803,West Coast,,6,Java,,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,"2 cube switch 100%
scale auto",,,,,,
5499,West Coast,,4,Java,,,Yes,,,Yes,,Yes,,,,Yes,Center Switch 100%,,,,,,
6832,Mecannum,,4,LabView,,,No,,,Yes,No,Yes,,,No,Yes,"baseline
near switch",,,,,,
3991,West Coast,,4,LabView,,,Yes,,,Yes,Yes,Yes,,,No,Yes,"2 cube switch near 
2 cube scale near",,,,,,
4911,West Coast,,4,Java,,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,"2 cube scale near
2 cube switch center",,,,,,
4192,Tank,,4,Java,,,Yes,,,Yes,Yes,Yes,,,,Yes,"Base Line
Side Switch
Center Switch 100%
",,,,,,
3834,Tank,,4,LabView,,,Yes,,,Yes,No,Yes,,,,Yes,baseline,,,,,,
418,West Coast,,4,Java,,,Yes,,,Yes,Yes,Yes,,,No,Yes,"3 switch center 100%
2 scale near",,,,,,
5987,Tank,,4,Java,,,Yes,,,Yes,Yes,Yes,,,No,Yes,"scale
switch about 100%",,,,,,
4795,Tank,,4,Java,,,Yes,,,Yes,No,Yes,No,No,No,Yes,"2 Cube Switch
Base Line",,,,,,
4501,West Coast,,4,Java,,,Yes,,,Yes,No,Yes,,,Yes,Yes,"Center Switch 100%
",,,,,,
3238,West Coast,,4,Java,,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,center switch 100%,,,,,,
6988,Tank,,6,C++,,,Yes,,,Yes,Yes,Yes,,,No,Yes,Baseline,,,,,,
3229,Tank,,4,C++,,,No,,,Yes,Yes,Yes,,,Yes,Yes,"Side Switch, Center Switch 100%",,,,,,
6902,Tank,,4,C++,,,Yes,,,Yes,No,Yes,,,Yes,Yes,baseline,,,,,,
2152,West Coast,,4,Java,,,Yes,,,Yes,Yes,Yes,No,No,Yes,Yes,"Baseline, cube switch, near scale",,,,,,
2723,Tank,,4,Java,,,Yes,,,Yes,Yes,Yes,No,No,Yes,Yes,"Center Switch 99%
Baseline
",,,,,,
1622,Mecannum,,4,C++,,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,center switch 100%,,,,,,
2811,West Coast,,6,Java,"2 CIM, 4miniCIM",,Yes,,,Yes,Yes,Yes,No,,Yes,Yes,"2 cube switch, scale both sides",,,,,,
2928,West Coast,,4,Java,,,Yes,,,Yes,Yes,Yes,No,No,Yes,Yes,Center Switch 100%,,,,,,
801,Swerve,,4,Java,,,Yes,,,Yes,Yes,Yes,Yes,No,Yes,Yes,Switch and Scale,,,,,,
7123,Tank,,4,LabView,,,Yes,,,Yes,No,Yes,,,No,Yes,bASELINE,,,,,,
342,Tank,,4,Java,,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,"center switch 100%
near scale",,,,,,
1466,Tank,,4,LabView,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Switch and near scale,,,,,,
1769,Tank,,4,LabView,,,Yes,,,Yes,Yes,Yes,No,No,Yes,Yes,Switch near and baseline,,,,,,
580,Mecannum,,4,C++,,,Yes,,,Yes,No,Yes,Yes,,Yes,Yes,"near switch 
center switch 100%",,,,,,
2429,West Coast,,4,Java,,,Yes,,,Yes,Yes,Yes,No,No,Yes,Yes,Center switch and near scale + switch,,,,,,
5805,West Coast,,4,Java,,,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,"scale left
center switch 100%",,,,,,
6838,Mecannum,,4,Java,,,Yes,,,Yes,Yes,Yes,,,No,Yes,Center Switch 60%,,,,,,
5006,Swerve,,4,C++,,,Yes,,,Yes,Yes,Yes,No,No,Yes,Yes,Center Switch and scale,,,,,,
932,West Coast,,2,LabView,,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,"near scale
center switch",,,,,,
4306,Tank,,2,LabView,,,Yes,,,Yes,No,Yes,,,No,Yes,near switch,,,,,,
1410,Tank,,6,C++,2 CIM and 4 miniCIM,,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Near switch,,,,,,
6846,Tank,,4,LabView,,,Yes,,,Yes,Yes,Yes,,,No,Yes,1 switch and 1 scale near,,,,,,
1378,West Coast,,6,Java,4 CIM and 2miniCIM,,Yes,,,Yes,Yes,Yes,No,No,No,Yes,Baseline,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
